825,mukogondo east,165
826,mariashoni,166
827,elburgon,166
828,turi,166
829,molo,166
830,maunarok,167
831,mauche,167
832,kihingo,167
833,nessuit,167
834,lare,167
835,njoro,167
836,biashara,168
837,hells gate,168
838,lakeview,168
839,maai-mahiu,168
840,maiella,168
841,olkaria,168
842,naivasha east,168
843,viwandani,168
844,gilgil,169
845,elementaita,169
846,mbaruk/eburu,169
847,malewa west,169
848,murindati,169
849,amalo,170
850,keringet,170
851,kiptagich,170
852,tinet,170
853,kiptororo,171
854,nyota,171
855,sirikwa,171
856,kamara,171
857,subukia,172
858,waseges,172
859,kabazi,172
860,menengai west,173
861,soin,173
862,visoi,173
863,mosop,173
864,solai,173
865,dundori,174
866,kabatini,174
867,kiamaina,174
868,lanet/umoja,174
869,bahati,174
870,barut,175
871,london,175
872,kaptembwo,175
873,kapkures,175
874,rhoda,175
875,shaabab,175
876,biashara,176
877,kivumbini,176
878,flamingo,176
879,menengai,176
880,nakuru east,176
881,kilgoris central,177
882,keyian,177
883,angata barikoi,177
884,shankoe,177
885,kimintet,177
886,lolgorian,177
887,ilkerin,178
888,ololmasani,178
889,mogondo,178
890,kapsasian,178
891,olpusimoru,179
892,olokurto,179
893,narok town,179
894,nkareta,179
895,olorropil,179
896,melili,179
897,mosiro,180
898,ildamat,180
899,keekonyokie,180
900,suswa,180
901,majimoto/naroosura,181
902,ololulung'a,181
903,melelo,181
904,loita,181
905,sogoo,181
906,sagamian,181
907,ilmotiok,182
908,mara,182
909,siana,182
910,naikarra,182
911,olkeri,183
912,ongata rongai,183
913,nkaimurunya,183
914,oloolua,183
915,ngong,183
916,purko,184
917,ildamat,184
918,dalalekutuk,184
919,matapato north,184
920,matapato south,184
921,kaputiei north,185
922,kitengela,185
923,oloosirkon/sholinke,185
924,kenyawa-poka,185
925,imaroro,185
926,keekonyokie,186
927,iloodokilani,186
928,magadi,186
929,ewuaso oonkidong'i,186
930,mosiro,186
931,entonet/lenkisim,187
932,mbirikani/eselenkei,187
933,kuku,187
934,rombo,187
935,kimana,187
936,londiani,188
937,kedowa/kimugul,188
938,chepseon,188
939,tendeno/sorget,188
940,kunyak,189
941,kamasian,189
942,kipkelion,189
943,chilchila,189
944,kapsoit,190
945,ainamoi,190
946,kapkugerwet,190
947,kipchebor,190
948,kipchimchim,190
949,kapsaos,190
950,kisiara,191
951,tebesonik,191
952,cheboin,191
953,chemosot,191
954,litein,191
955,cheplanget,191
956,kapkatet,191
957,waldai,192
958,kabianga,192
959,cheptororiet/seretut,192
960,chaik,192
961,kapsuser,192
962,sigowet,193
963,kaplelartet,193
964,soliat,193
965,soin,193
966,ndanai/abosi,194
967,chemagel,194
968,kipsonoi,194
969,kapletundo,194
970,rongena/manaret,194
971,kong'asis,195
972,nyangores,195
973,sigor,195
974,chebunyo,195
975,siongiroi,195
976,merigi,196
977,kembu,196
978,longisa,196
979,kipreres,196
980,chemaner,196
981,silibwet township,197
982,ndaraweta,197
983,singorwet,197
984,chesoen,197
985,mutarakwa,197
